"Symbol","Description","IPO Date","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"CMG","Chipotle Mexican Grill Inc","01/26/2006","Common stocks","Large cap","Consumer Discretionary","$45,093,493,883","0.00%","USA","Analyze"
"MCHP","Microchip Technology Inc","03/19/1993","Common stocks","Large cap","Information Technology","$45,083,602,323","1.53%","USA","Analyze"
"MSI","Motorola Solutions Inc","02/27/2001","Common stocks","Large cap","Information Technology","$44,849,779,039","1.24%","USA","Analyze"
"F","Ford Motor Company","02/16/2001","Common stocks","Large cap","Consumer Discretionary","$44,713,066,145","4.62%","USA","Analyze"
"ECL","Ecolab Inc","02/15/2001","Common stocks","Large cap","Materials","$44,704,497,966","1.32%","USA","Analyze"
"PXD","Pioneer Natural Resource","03/05/2001","Common stocks","Large cap","Energy","$44,458,085,665","13.83%","USA","Analyze"
"DXCM","Dexcom Inc","04/14/2005","Common stocks","Large cap","Health Care","$44,244,367,505","0.00%","USA","Analyze"
"CTAS","Cintas Corp","02/12/2001","Common stocks","Large cap","Industrials","$44,016,910,479","1.01%","USA","Analyze"
"SRE","Sempra Energy","03/07/2001","Common stocks","Large cap","Utilities","$43,942,216,109","3.27%","USA","Analyze"
"AEP","American Electric Power Inc","02/06/2001","Common stocks","Large cap","Utilities","$43,935,496,660","3.72%","USA","Analyze"
"MSCI","MSCI Inc","11/15/2007","Common stocks","Large cap","Financials","$43,734,915,583","0.90%","USA","Analyze"
"D","Dominion Energy Inc","02/13/2001","Common stocks","Large cap","Utilities","$43,613,810,680","5.03%","USA","Analyze"
"KKR","KKR & Co Inc.","07/15/2010","Common stocks","Large cap","Financials","$43,481,777,263","0.92%","USA","Analyze"
"PSX","Phillips 66","04/12/2012","Common stocks","Large cap","Energy","$43,393,875,372","4.17%","USA","Analyze"
"TFC","Truist Financial Corporation","09/29/2011","Common stocks","Large cap","Financials","$43,257,522,438","6.16%","USA","Analyze"
"ADSK","Autodesk Inc","02/05/2001","Common stocks","Large cap","Information Technology","$43,201,392,680","0.00%","USA","Analyze"
"KMB","Kimberly Clark Corp","02/23/2001","Common stocks","Large cap","Consumer Staples","$42,981,484,647","3.61%","USA","Analyze"
"AZO","Autozone Inc","02/08/2001","Common stocks","Large cap","Consumer Discretionary","$42,458,591,553","0.00%","USA","Analyze"
"TT","Trane Technologies plc","12/31/1997","Common stocks","Large cap","Industrials","$41,900,057,950","1.50%","USA","Analyze"
"LVS","Las Vegas Sands Corp","12/15/2004","Common stocks","Large cap","Consumer Discretionary","$41,828,681,595","0.00%","USA","Analyze"
"PH","Parker-Hannifin Corp","03/02/2001","Common stocks","Large cap","Industrials","$41,099,001,333","1.64%","USA","Analyze"
"TWTR","Twitter Inc","11/07/2013","Common stocks","Large cap","Communication Services","$41,093,718,362","0.00%","USA","Analyze"
"ADM","Archer-Daniels-Midland Company","02/06/2001","Common stocks","Large cap","Consumer Staples","$41,054,425,246","2.18%","USA","Analyze"
"CTVA","Corteva, Inc.","05/24/2019","Common stocks","Large cap","Materials","$40,483,113,967","1.03%","USA","Analyze"
"RSG","Republic Services Inc","03/06/2001","Common stocks","Large cap","Industrials","$40,440,329,071","1.48%","USA","Analyze"
"IDXX","Idexx Laboratories Inc","02/20/2001","Common stocks","Large cap","Health Care","$39,689,159,833","0.00%","USA","Analyze"
"STZ","Constellation Brands Class A","03/07/2001","Common stocks","Large cap","Consumer Staples","$39,665,272,103","1.48%","USA","Analyze"
"TEL","TE Connectivity Ltd","06/14/2007","Common stocks","Large cap","Information Technology","$39,604,545,492","1.78%","USA","Analyze"
